# addr  segment  name  u32  f32  f64
0x180000000  ?    4294967295  nan  nan
0x180934860  .idata  __imp_GetCurrentProcess  4294967295  nan  nan
0x180934868  .idata  __imp_DuplicateHandle  4294967295  nan  nan
0x1809348A8  .idata  __imp_CreateSemaphoreA  4294967295  nan  nan
0x1809348B0  .idata  __imp_ReleaseSemaphore  4294967295  nan  nan
0x180934910  .idata  __imp_GetProcAddress  4294967295  nan  nan
0x180934918  .idata  __imp_GetModuleHandleA  4294967295  nan  nan
0x180934920  .idata  __imp_EnterCriticalSection  4294967295  nan  nan
0x180934928  .idata  __imp_LeaveCriticalSection  4294967295  nan  nan
0x180934938  .idata  __imp_WaitForSingleObjectEx  4294967295  nan  nan
0x1809349D8  .idata  __imp_FreeLibrary  4294967295  nan  nan
0x180935658  .rdata  __guard_dispatch_icall_fptr  2156781008  -1.302837629027498e-38  3.1875871926e-314
0x180938148  .rdata  aVectorTTooLong_0  1952671094  7.20647741199067e+31  6.076245132655592e+97
0x180939680  .rdata  ??_7exception@std@@6B@  2148275808  -1.1100525914995471e-39  3.1833850655e-314
0x180945AD0  .rdata  ??_7clone_base@exception_detail@boost@@6B@  2154492236  -9.821123601485341e-39  3.186456389e-314
0x180947C98  .rdata  ??_7bad_alloc@std@@6B@  2148275936  -1.1102319577029807e-39  3.1833851287e-314
0x180947CD8  .rdata  ??_7length_error@std@@6B@  2150624272  -4.400951588221664e-39  3.184545361e-314
0x180947CF0  .rdata  ??_7out_of_range@std@@6B@  2150624496  -4.401265479077673e-39  3.1845454715e-314
0x180947E98  .rdata  ??_7exception@boost@@6B@  2154492236  -9.821123601485341e-39  3.186456389e-314
0x180948050  .rdata  off_180948050  2157215688  -1.3637492706747693e-38  3.187801953e-314
0x180948090  .rdata  ??_7system_error@system@boost@@6B@  2150624576  -4.401377582954819e-39  3.184545511e-314
0x1809480A8  .rdata  ??_7thread_exception@boost@@6B@  2150624704  -4.4015569491582526e-39  3.1845455743e-314
0x1809480C0  .rdata  ??_7thread_resource_error@boost@@6B@  2150624768  -4.4016466322599694e-39  3.184545606e-314
0x1809480D0  .rdata  aBoostThreadRes  1936682850  1.8970002151729668e+31  7.511508920180635e+251
0x1809487C0  .rdata  ??_7?$error_info_injector@Vthread_resource_error@boost@@@exception_detail@boost@@6B@  2150622128  -4.397947204314152e-39  3.1845443016e-314
0x1809487D8  .rdata  ??_7?$error_info_injector@Vthread_resource_error@boost@@@exception_detail@boost@@6B@_0  2150620628  -4.3958452566176647e-39  3.1845435605e-314
0x1809487E8  .rdata  ??_7?$clone_impl@U?$error_info_injector@Vthread_resource_error@boost@@@exception_detail@boost@@@exception_detail@boost@@6B@  2150621408  -4.396938269419838e-39  3.184543946e-314
0x180948800  .rdata  ??_7?$clone_impl@U?$error_info_injector@Vthread_resource_error@boost@@@exception_detail@boost@@@exception_detail@boost@@6B@_0  2150620556  -4.395744363128233e-39  3.184543525e-314
0x180948810  .rdata  ??_7?$clone_impl@U?$error_info_injector@Vthread_resource_error@boost@@@exception_detail@boost@@@exception_detail@boost@@6B@_1  2150644448  -4.429224186037882e-39  3.184555329e-314
0x180948838  .rdata  ??_7?$wrapexcept@Vthread_resource_error@boost@@@boost@@6B@  2150623072  -4.3992700300644745e-39  3.184544768e-314
0x180948850  .rdata  ??_7?$wrapexcept@Vthread_resource_error@boost@@@boost@@6B@_0  2150621000  -4.3963665396463935e-39  3.1845437443e-314
0x180948860  .rdata  ??_7?$wrapexcept@Vthread_resource_error@boost@@@boost@@6B@_1  2150644448  -4.429224186037882e-39  3.184555329e-314
0x180948878  .rdata  unk_180948878  4294967184  nan  3.6073928391e-313
0x1809894E0  .rdata  unk_1809894E0  2544773533  -1.125499112092187e-24  -1.04544886827589
0x18098AC70  .rdata  dword_18098AC70  864026624  5.960464477539063e-08  3.493706737605413e-30
0x18098AC90  .rdata  qword_18098AC90  3435973837  -107374184.0  8.9
0x18098AC98  .rdata  dword_18098AC98  1140850688  512.0  2.4178522517188077e+24
0x18098ACA4  .rdata  dword_18098ACA4  1266679808  16777216.0  6.258229774e-315
0x18098ACA8  .rdata  qword_18098ACA8  0  0.0  -20.0
0x18098ACB0  .rdata  dword_18098ACB0  3288334336  -512.0  -2.4178534046403123e+24
0x18098ACC0  .rdata  dword_18098ACC0  1056964608  0.5  1.1920931752840147e-07
0x18098AD3C  .rdata  dword_18098AD3C  796917760  2.3283064365386963e-10  2.0000003539025784
0x18098ADC0  .rdata  dword_18098ADC0  931135488  1.52587890625e-05  -4.903986744687605e+55
0x18098ADC4  .rdata  dword_18098ADC4  3414163456  -16777216.0  1.7485361358319832e-185
0x1809DF1C0  .rdata  ??_7lock_error@boost@@6B@  2151442192  -5.5471016281622187e-39  3.184949467e-314
0x1809DF308  .rdata  aBoostUniqueLoc  1936682850  1.8970002151729668e+31  1.221884167539612e+224
0x1809DF328  .rdata  aBoostUniqueLoc_1  1936682850  1.8970002151729668e+31  1.221884167539612e+224
0x1809DF350  .rdata  aBoostUniqueLoc_0  1936682850  1.8970002151729668e+31  1.221884167539612e+224
0x1809DF388  .rdata  ??_7?$error_info_injector@Vlock_error@boost@@@exception_detail@boost@@6B@  2151441648  -5.546339321797626e-39  3.1849491983e-314
0x1809DF3A0  .rdata  ??_7?$error_info_injector@Vlock_error@boost@@@exception_detail@boost@@6B@_0  2151441516  -5.546154350400335e-39  3.184949133e-314
0x1809DF3B0  .rdata  ??_7?$clone_impl@U?$error_info_injector@Vlock_error@boost@@@exception_detail@boost@@@exception_detail@boost@@6B@  2151441568  -5.54622721792048e-39  3.1849491587e-314
0x1809DF3C8  .rdata  ??_7?$clone_impl@U?$error_info_injector@Vlock_error@boost@@@exception_detail@boost@@@exception_detail@boost@@6B@_0  2151441504  -5.546137534818763e-39  3.184949127e-314
0x1809DF3D8  .rdata  ??_7?$clone_impl@U?$error_info_injector@Vlock_error@boost@@@exception_detail@boost@@@exception_detail@boost@@6B@_1  2151448516  -5.555963439650609e-39  3.1849525915e-314
0x1809DF400  .rdata  ??_7?$wrapexcept@Vlock_error@boost@@@boost@@6B@  2151441840  -5.5466083711027763e-39  3.184949293e-314
0x1809DF418  .rdata  ??_7?$wrapexcept@Vlock_error@boost@@@boost@@6B@_0  2151441548  -5.5461991919511935e-39  3.184949149e-314
0x1809DF428  .rdata  ??_7?$wrapexcept@Vlock_error@boost@@@boost@@6B@_1  2151448516  -5.555963439650609e-39  3.1849525915e-314
0x1809DF440  .rdata  unk_1809DF440  4294967184  nan  3.6073928391e-313
0x180A867E8  .rdata  ExceptionInfo  2160812896  -1.867825475300464e-38  3.18957921e-314
0x180A86830  .rdata  ??_7bad_array_new_length@std@@6B@  2154261272  -9.497474102971024e-39  3.1863422776e-314
0x180A86840  .rdata  aBadArrayNewLen  543449442  1.9344572467196402e-19  2.593454324712013e+161
0x180A87B18  .rdata  aSetwaitabletim  1467245907  268716021383168.0  2.869694243973313e+161
0x180A87B30  .rdata  aKernel32Dll_4  1314014539  881939136.0  7.158001001640079e-67
0x180A87B70  .rdata  qword_180A87B70  0  0.0  1000000000.0
0x180A8B8E0  .rdata  xmmword_180A8B8E0  3765269347  -6.8440513043847184e+19  3.9822860227e-314
0x180A8B8F0  .rdata  xmmword_180A8B8F0  0  0.0  0.0
0x180A8B900  .rdata  xmmword_180A8B900  429065504  1.5201513726677183e-23  2.119865253e-315
0x180A8B910  .rdata  xmmword_180A8B910  0  0.0  0.0
0x180A8EC50  .rdata  dword_180A8EC50  1  1.401298464324817e-45  4.66839074017e-313
0x180A90C88  .rdata  aFmodf  1685024102  1.7666619287257366e+22  2.172760831997e-312
0x180A90C90  .rdata  xmmword_180A90C90  2139095040  inf  1.0568533725e-314
0x180A90CA0  .rdata  qword_180A90CA0  0  0.0  8192.0
0x180A90CB0  .rdata  qword_180A90CB0  0  0.0  -9600.0
0x180A90CC0  .rdata  xmmword_180A90CC0  1697350398  5.0621315495573575e+22  92.33248261689366
0x180A90CD0  .rdata  xmmword_180A90CD0  4277811695  -1.6630390368153036e+38  0.010830424696249145
0x180A90CE0  .rdata  xmmword_180A90CE0  1431655765  14660154687488.0  0.16666666666666666
0x180A90CF0  .rdata  xmmword_180A90CF0  0  0.0  0.5
0x180A90D00  .rdata  dword_180A90D00  4286578688  -inf  1.7800607810867755e-307
0x180A90D04  .rdata  dword_180A90D04  4194304  5.877471754111438e-39  19181709836288.0
0x180A90D0C  .rdata  dword_180A90D0C  1  1.401298464324817e-45  4.2439915824e-314
0x180A90D10  .rdata  dword_180A90D10  2  2.802596928649634e-45  6.365987374e-314
0x180A90D14  .rdata  dword_180A90D14  3  4.203895392974451e-45  1.5e-323
0x180A91E80  .rdata  unk_180A91E80  3221225477  -2.0000011920928955  2.49334505463e-313
0x180A92160  .rdata  off_180A92160  2158567936  -1.5532395752533998e-38  3.1884700524e-314
0x180A926A8  .rdata  aApiMs_0  7340129  1.0285711495646055e-38  8.066338363457719e-308
0x180A926B8  .rdata  aExtMs_0  7864421  1.1020401070103842e-38  8.066385047883189e-308
0x180A92740  .rdata  unk_180A92740  1  1.401298464324817e-45  3.3951932656e-313
0x180A92748  .rdata  aFlsgetvalue_0  1198746694  62316.2734375  7.89231456240082e+160
0x180A92758  .rdata  unk_180A92758  1  1.401298464324817e-45  3.3951932656e-313
0x180A92760  .rdata  aFlssetvalue_0  1400073286  1045493579776.0  7.892314813797219e+160
0x180A92AD0  .rdata  off_180A92AD0  2158570896  -1.55365435959884e-38  3.188471515e-314
0x180A96C10  .rdata  dbl_180A96C10  0  0.0  1.0
0x180A96E10  .rdata  aExpf  1718646885  2.8389721074863946e+23  8.49124383e-315
0x180AC2CA8  .rdata  aStringTooLong  1769108595  1.83193727646451e+25  2.3489669807139454e+251
0x180AC2CB8  .rdata  aInvalidStringP  1635151465  2.8411593327182977e+20  1.217905871867967e-152
0x180AC2E00  .rdata  aBadAllocation  543449442  1.9344572467196402e-19  5.386691410895717e+228
0x180AE4F5C  .rdata  dword_180AE4F5C  998244352  0.00390625  1.2923696517834199e-19
0x180AE4FD0  .rdata  dword_180AE4FD0  1048576000  0.25  2.035141328793344e-07
0x180AE500C  .rdata  dword_180AE500C  1056964608  0.5  -5.266384416506561e+184
0x180AE50B4  .rdata  dword_180AE50B4  1065353216  1.0  1.999159278904387e+37
0x180AE51A0  .rdata  dbl_180AE51A0  0  0.0  1.0
0x180AE51E8  .rdata  flt_180AE51E8  1073741824  2.0  5.304989477e-315
0x180AE5268  .rdata  qword_180AE5268  0  0.0  20.0
0x180AE52D0  .rdata  dword_180AE52D0  1082130432  4.0  5.34643471e-315
0x180AE5444  .rdata  dword_180AE5444  1132462080  256.0  5.3142482850729165e+17
0x180AE54C0  .rdata  dword_180AE54C0  2147483648  -0.0  -4.235166755755419e-22
0x180AE54D8  .rdata  dword_180AE54D8  3204448256  -0.5  -0.0002929688771473593
0x180AE54E4  .rdata  dword_180AE54E4  3212836864  -1.0  -0.19579645968042314
0x180AE54F8  .rdata  dword_180AE54F8  3221225472  -2.0  1.591496843e-314
0x180AE5790  .rdata  xmmword_180AE5790  2147483647  nan  nan
0x180AE57B0  .rdata  xmmword_180AE57B0  0  0.0  -0.0
0x180AE57C0  .rdata  xmmword_180AE57C0  2147483648  -0.0  -1.0609978955e-314
0x180C3BD58  .rdata  __TI3?AVlength_error@std@@  0  0.0  8.850725612351857e-308
0x180C3C060  .rdata  __TI10?AU?$wrapexcept@Vthread_resource_error@boost@@@boost@@  0  0.0  8.861793942397532e-308
0x180C3C898  .rdata  __TI10?AU?$wrapexcept@Vlock_error@boost@@@boost@@  0  0.0  1.5792673570814632e-307
0x180C3CBE8  .rdata  __TI3?AVout_of_range@std@@  0  0.0  8.851472554870277e-308
0x180C3CE00  .rdata  __TI3?AVbad_array_new_length@std@@  0  0.0  1.0421369178538837e-306
0x180C3CE68  .rdata  __TI1?AVthread_interrupted@boost@@  0  0.0  0.0
0x180C3D728  .rdata  __TI2?AVbad_alloc@std@@  0  0.0  1.681401560895571e-308
0x180C94EF0  .data  qword_180C94EF0  3525336525  -172192120832.0  nan
0x180C94EF8  .data  __security_cookie  769630770  2.5424194000089884e-11  2.3683975271087e-310
0x180C94F18  .data  qword_180C94F18  8239  1.1545298047572168e-41  4.0706e-320
