param_id	offset	name
241	23024	LFO Saw Sw
242	23040	LFO Saw(Inv) Sw
243	23056	LFO S&H Sw
244	23072	LFO Noise Sw
245	23088	LFO Noise Mix
246	23104	LFO Internal Sw
247	23120	LFO External0 Sw
248	23136	LFO External1 Sw
249	23552	read only
250	23568	read only
251	23584	LFO trigger env sw
252	23808	ENV Attack
253	23824	ENV Sustain
254	23840	ENV Decay
255	23856	ENV Release
256	23872	Q24C Initialize
257	24064	LFO trigger env sw
258	24288	ENV Attack
259	24304	ENV Sustain
260	24320	ENV Decay
261	24336	ENV Release
262	24352	Q24C Initialize
263	24864	OSC1 Feet
264	24880	Griffer Bend SW
265	24896	Bend Enable SW
266	24912	PWM SW LFO
267	24928	PWM SW ENV1
268	24944	PWM SW ENV2
269	24960	PWM SW Manual
270	24976	Tune
271	24992	Detune
272	25008	Mod Sens
273	25024	Mod Sw
274	25040	LFO Gain
275	25056	LFO Level
276	25072	LFO Sw
277	25088	ENV1 Level
278	25104	ENV2 Level
279	25120	ENV Sw
280	25136	Bend Level
281	25152	Bend Range
282	25168	PWM Level
283	25216	JU OSC Saw Lev
284	25232	JU OSC Sqr Lev
285	25248	JU OSC Sub Lev
286	26544	Duty Tune
287	27472	Osc1 Mute
288	27536	Osc1 Level
289	27552	Osc Noise Level
290	27744	Griffer SW
291	27760	LPF Cutoff
292	27856	LPF Resonance
293	27888	Velocity
294	28032	Env1/2
295	28048	Int/Env
296	28320	LFO Gain
297	28336	Ext LFO Sw
298	28352	GRF Bned SW
299	28368	LFO Level
300	28384	MOD Sens
301	28400	MOD SW
302	28416	ENV Level
303	28432	KCV Level
304	28448	Velocity Sens
305	28464	Velocity Offset
306	28480	Bend Level
307	28496	Bend Range
308	28624	Cutoff Tune
309	28640	Resonance Tune
310	28656	PlugIn Sw
311	30080	PlugIn Sw
312	30096	-12dB/oct Tap
313	30112	-18dB/oct Tap
314	30128	-24dB/oct Tap
315	30608	AMP TONE
316	30624	AMP VELOCITY SENS
317	30640	AMP FIX VELOCITY LEVEL
318	30704	Velocity
319	30848	Mute
320	31200	Gate SW
321	31216	ENV1 SW
322	31232	ENV2 SW
323	31248	Ext ENV SW
324	31264	HPF Cutoff
325	31280	HPF Switch
326	31296	Boost LPF Level
327	31312	Boost Thru Level
328	31328	ENV LEVEL
329	31344	AMP LEVEL
330	31808	UseExtJack
331	31840	M.CV
332	31856	M.Gate
333	31904	Master Tune
334	31920	Part Tune
335	32128	Portamento OnOff
336	32144	Portamento Mode
337	32160	Portamento Time
338	32576	LFO Griffer Rate Sw
339	32592	LFO Tempo Rate Sw
340	32608	LFO Tempo Rate
341	32624	LFO Rate
342	33392	Gate
343	33408	LFO Trig
344	33424	Reset Sw
345	33440	LFO UseExtGate
346	33456	LFO Delay
347	33472	LFO Delay Sw
348	33488	LFO Sin Sw
349	33504	LFO Tri Sw
350	33520	LFO Sqr Sw
351	33536	LFO Saw Sw
352	33552	LFO Saw(Inv) Sw
353	33568	LFO S&H Sw
354	33584	LFO Noise Sw
355	33600	LFO Noise Mix
356	33616	LFO Internal Sw
357	33632	LFO External0 Sw
358	33648	LFO External1 Sw
359	34064	read only
360	34080	read only
361	34096	LFO trigger env sw
362	34320	ENV Attack
363	34336	ENV Sustain
364	34352	ENV Decay
365	34368	ENV Release
366	34384	Q24C Initialize
367	34576	LFO trigger env sw
368	34800	ENV Attack
369	34816	ENV Sustain
370	34832	ENV Decay
371	34848	ENV Release
372	34864	Q24C Initialize
373	35376	OSC1 Feet
374	35392	Griffer Bend SW
375	35408	Bend Enable SW
376	35424	PWM SW LFO
377	35440	PWM SW ENV1
378	35456	PWM SW ENV2
379	35472	PWM SW Manual
380	35488	Tune
381	35504	Detune
382	35520	Mod Sens
383	35536	Mod Sw
384	35552	LFO Gain
385	35568	LFO Level
386	35584	LFO Sw
387	35600	ENV1 Level
388	35616	ENV2 Level
389	35632	ENV Sw
390	35648	Bend Level
391	35664	Bend Range
392	35680	PWM Level
393	35728	JU OSC Saw Lev
394	35744	JU OSC Sqr Lev
395	35760	JU OSC Sub Lev
396	37056	Duty Tune
397	37984	Osc1 Mute
398	38048	Osc1 Level
399	38064	Osc Noise Level
400	38256	Griffer SW
401	38272	LPF Cutoff
402	38368	LPF Resonance
403	38400	Velocity
404	38544	Env1/2
405	38560	Int/Env
406	38832	LFO Gain
407	38848	Ext LFO Sw
408	38864	GRF Bned SW
409	38880	LFO Level
410	38896	MOD Sens
411	38912	MOD SW
412	38928	ENV Level
413	38944	KCV Level
414	38960	Velocity Sens
415	38976	Velocity Offset
416	38992	Bend Level
417	39008	Bend Range
418	39136	Cutoff Tune
419	39152	Resonance Tune
420	39168	PlugIn Sw
421	40592	PlugIn Sw
422	40608	-12dB/oct Tap
423	40624	-18dB/oct Tap
424	40640	-24dB/oct Tap
425	41120	AMP TONE
426	41136	AMP VELOCITY SENS
427	41152	AMP FIX VELOCITY LEVEL
428	41216	Velocity
429	41360	Mute
430	41712	Gate SW
431	41728	ENV1 SW
432	41744	ENV2 SW
433	41760	Ext ENV SW
434	41776	HPF Cutoff
435	41792	HPF Switch
436	41808	Boost LPF Level
437	41824	Boost Thru Level
438	41840	ENV LEVEL
439	41856	AMP LEVEL
440	42320	UseExtJack
441	42352	M.CV
442	42368	M.Gate
443	42416	Master Tune
444	42432	Part Tune
445	42640	Portamento OnOff
446	42656	Portamento Mode
447	42672	Portamento Time
448	43088	LFO Griffer Rate Sw
449	43104	LFO Tempo Rate Sw
450	43120	LFO Tempo Rate
451	43136	LFO Rate
452	43904	Gate
453	43920	LFO Trig
454	43936	Reset Sw
455	43952	LFO UseExtGate
456	43968	LFO Delay
457	43984	LFO Delay Sw
458	44000	LFO Sin Sw
459	44016	LFO Tri Sw
460	44032	LFO Sqr Sw
461	44048	LFO Saw Sw
462	44064	LFO Saw(Inv) Sw
463	44080	LFO S&H Sw
464	44096	LFO Noise Sw
465	44112	LFO Noise Mix
466	44128	LFO Internal Sw
467	44144	LFO External0 Sw
468	44160	LFO External1 Sw
469	44576	read only
470	44592	read only
471	44608	LFO trigger env sw
472	44832	ENV Attack
473	44848	ENV Sustain
474	44864	ENV Decay
475	44880	ENV Release
476	44896	Q24C Initialize
477	45088	LFO trigger env sw
478	45312	ENV Attack
479	45328	ENV Sustain
480	45344	ENV Decay
481	45360	ENV Release
482	45376	Q24C Initialize
483	45888	OSC1 Feet
484	45904	Griffer Bend SW
485	45920	Bend Enable SW
486	45936	PWM SW LFO
487	45952	PWM SW ENV1
488	45968	PWM SW ENV2
489	45984	PWM SW Manual
490	46000	Tune
491	46016	Detune
492	46032	Mod Sens
493	46048	Mod Sw
494	46064	LFO Gain
495	46080	LFO Level
496	46096	LFO Sw
497	46112	ENV1 Level
498	46128	ENV2 Level
499	46144	ENV Sw
500	46160	Bend Level
501	46176	Bend Range
502	46192	PWM Level
503	46240	JU OSC Saw Lev
504	46256	JU OSC Sqr Lev
505	46272	JU OSC Sub Lev
506	47568	Duty Tune
507	48496	Osc1 Mute
508	48560	Osc1 Level
509	48576	Osc Noise Level
510	48768	Griffer SW
511	48784	LPF Cutoff
512	48880	LPF Resonance
513	48912	Velocity
514	49056	Env1/2
515	49072	Int/Env
516	49344	LFO Gain
517	49360	Ext LFO Sw
518	49376	GRF Bned SW
519	49392	LFO Level
520	49408	MOD Sens
521	49424	MOD SW
522	49440	ENV Level
523	49456	KCV Level
524	49472	Velocity Sens
525	49488	Velocity Offset
526	49504	Bend Level
527	49520	Bend Range
528	49648	Cutoff Tune
529	49664	Resonance Tune
530	49680	PlugIn Sw
531	51104	PlugIn Sw
532	51120	-12dB/oct Tap
533	51136	-18dB/oct Tap
534	51152	-24dB/oct Tap
535	51632	AMP TONE
536	51648	AMP VELOCITY SENS
537	51664	AMP FIX VELOCITY LEVEL
538	51728	Velocity
539	51872	Mute
540	52224	Gate SW
541	52240	ENV1 SW
542	52256	ENV2 SW
543	52272	Ext ENV SW
544	52288	HPF Cutoff
545	52304	HPF Switch
546	52320	Boost LPF Level
547	52336	Boost Thru Level
548	52352	ENV LEVEL
549	52368	AMP LEVEL
550	52832	UseExtJack
551	52864	M.CV
552	52880	M.Gate
553	52928	Master Tune
554	52944	Part Tune
555	53152	Portamento OnOff
556	53168	Portamento Mode
557	53184	Portamento Time
558	53600	LFO Griffer Rate Sw
559	53616	LFO Tempo Rate Sw
560	53632	LFO Tempo Rate
561	53648	LFO Rate
562	54416	Gate
563	54432	LFO Trig
564	54448	Reset Sw
565	54464	LFO UseExtGate
566	54480	LFO Delay
567	54496	LFO Delay Sw
568	54512	LFO Sin Sw
569	54528	LFO Tri Sw
570	54544	LFO Sqr Sw
571	54560	LFO Saw Sw
572	54576	LFO Saw(Inv) Sw
573	54592	LFO S&H Sw
574	54608	LFO Noise Sw
575	54624	LFO Noise Mix
576	54640	LFO Internal Sw
577	54656	LFO External0 Sw
578	54672	LFO External1 Sw
579	55088	read only
580	55104	read only
581	55120	LFO trigger env sw
582	55344	ENV Attack
583	55360	ENV Sustain
584	55376	ENV Decay
585	55392	ENV Release
586	55408	Q24C Initialize
587	55600	LFO trigger env sw
588	55824	ENV Attack
589	55840	ENV Sustain
590	55856	ENV Decay
591	55872	ENV Release
592	55888	Q24C Initialize
593	56400	OSC1 Feet
594	56416	Griffer Bend SW
595	56432	Bend Enable SW
596	56448	PWM SW LFO
597	56464	PWM SW ENV1
598	56480	PWM SW ENV2
599	56496	PWM SW Manual
600	56512	Tune
601	56528	Detune
602	56544	Mod Sens
603	56560	Mod Sw
604	56576	LFO Gain
605	56592	LFO Level
606	56608	LFO Sw
607	56624	ENV1 Level
608	56640	ENV2 Level
609	56656	ENV Sw
610	56672	Bend Level
611	56688	Bend Range
612	56704	PWM Level
613	56752	JU OSC Saw Lev
614	56768	JU OSC Sqr Lev
615	56784	JU OSC Sub Lev
616	58080	Duty Tune
617	59008	Osc1 Mute
618	59072	Osc1 Level
619	59088	Osc Noise Level
620	59280	Griffer SW
621	59296	LPF Cutoff
622	59392	LPF Resonance
623	59424	Velocity
624	59568	Env1/2
625	59584	Int/Env
626	59856	LFO Gain
627	59872	Ext LFO Sw
628	59888	GRF Bned SW
629	59904	LFO Level
630	59920	MOD Sens
631	59936	MOD SW
632	59952	ENV Level
633	59968	KCV Level
634	59984	Velocity Sens
635	60000	Velocity Offset
636	60016	Bend Level
637	60032	Bend Range
638	60160	Cutoff Tune
639	60176	Resonance Tune
640	60192	PlugIn Sw
641	61616	PlugIn Sw
642	61632	-12dB/oct Tap
643	61648	-18dB/oct Tap
644	61664	-24dB/oct Tap
645	62144	AMP TONE
646	62160	AMP VELOCITY SENS
647	62176	AMP FIX VELOCITY LEVEL
648	62240	Velocity
649	62384	Mute
650	62736	Gate SW
651	62752	ENV1 SW
652	62768	ENV2 SW
653	62784	Ext ENV SW
654	62800	HPF Cutoff
655	62816	HPF Switch
656	62832	Boost LPF Level
657	62848	Boost Thru Level
658	62864	ENV LEVEL
659	62880	AMP LEVEL
660	63344	UseExtJack
661	63376	M.CV
662	63392	M.Gate
663	63440	Master Tune
664	63456	Part Tune
665	63664	Portamento OnOff
666	63680	Portamento Mode
667	63696	Portamento Time
668	64112	LFO Griffer Rate Sw
669	64128	LFO Tempo Rate Sw
670	64144	LFO Tempo Rate
671	64160	LFO Rate
672	64928	Gate
673	64944	LFO Trig
674	64960	Reset Sw
675	64976	LFO UseExtGate
676	64992	LFO Delay
677	65008	LFO Delay Sw
678	65024	LFO Sin Sw
679	65040	LFO Tri Sw
680	65056	LFO Sqr Sw
681	65072	LFO Saw Sw
682	65088	LFO Saw(Inv) Sw
683	65104	LFO S&H Sw
684	65120	LFO Noise Sw
685	65136	LFO Noise Mix
686	65152	LFO Internal Sw
687	65168	LFO External0 Sw
688	65184	LFO External1 Sw
689	65600	read only
690	65616	read only
691	65632	LFO trigger env sw
692	65856	ENV Attack
693	65872	ENV Sustain
694	65888	ENV Decay
695	65904	ENV Release
696	65920	Q24C Initialize
697	66112	LFO trigger env sw
698	66336	ENV Attack
699	66352	ENV Sustain
700	66368	ENV Decay
701	66384	ENV Release
702	66400	Q24C Initialize
703	66912	OSC1 Feet
704	66928	Griffer Bend SW
705	66944	Bend Enable SW
706	66960	PWM SW LFO
707	66976	PWM SW ENV1
708	66992	PWM SW ENV2
709	67008	PWM SW Manual
710	67024	Tune
711	67040	Detune
712	67056	Mod Sens
713	67072	Mod Sw
714	67088	LFO Gain
715	67104	LFO Level
716	67120	LFO Sw
717	67136	ENV1 Level
718	67152	ENV2 Level
719	67168	ENV Sw
720	67184	Bend Level
721	67200	Bend Range
722	67216	PWM Level
723	67264	JU OSC Saw Lev
724	67280	JU OSC Sqr Lev
725	67296	JU OSC Sub Lev
726	68592	Duty Tune
727	69520	Osc1 Mute
728	69584	Osc1 Level
729	69600	Osc Noise Level
730	69792	Griffer SW
731	69808	LPF Cutoff
732	69904	LPF Resonance
733	69936	Velocity
734	70080	Env1/2
735	70096	Int/Env
736	70368	LFO Gain
737	70384	Ext LFO Sw
738	70400	GRF Bned SW
739	70416	LFO Level
740	70432	MOD Sens
741	70448	MOD SW
742	70464	ENV Level
743	70480	KCV Level
744	70496	Velocity Sens
745	70512	Velocity Offset
746	70528	Bend Level
747	70544	Bend Range
748	70672	Cutoff Tune
749	70688	Resonance Tune
750	70704	PlugIn Sw
751	72128	PlugIn Sw
752	72144	-12dB/oct Tap
753	72160	-18dB/oct Tap
754	72176	-24dB/oct Tap
755	72656	AMP TONE
756	72672	AMP VELOCITY SENS
757	72688	AMP FIX VELOCITY LEVEL
758	72752	Velocity
759	72896	Mute
760	73248	Gate SW
761	73264	ENV1 SW
762	73280	ENV2 SW
763	73296	Ext ENV SW
764	73312	HPF Cutoff
765	73328	HPF Switch
766	73344	Boost LPF Level
767	73360	Boost Thru Level
768	73376	ENV LEVEL
769	73392	AMP LEVEL
770	73856	UseExtJack
771	73888	M.CV
772	73904	M.Gate
773	73952	Master Tune
774	73968	Part Tune
775	74176	Portamento OnOff
776	74192	Portamento Mode
777	74208	Portamento Time
778	74624	LFO Griffer Rate Sw
779	74640	LFO Tempo Rate Sw
780	74656	LFO Tempo Rate
781	74672	LFO Rate
782	75440	Gate
783	75456	LFO Trig
784	75472	Reset Sw
785	75488	LFO UseExtGate
786	75504	LFO Delay
787	75520	LFO Delay Sw
788	75536	LFO Sin Sw
789	75552	LFO Tri Sw
790	75568	LFO Sqr Sw
791	75584	LFO Saw Sw
792	75600	LFO Saw(Inv) Sw
793	75616	LFO S&H Sw
794	75632	LFO Noise Sw
795	75648	LFO Noise Mix
796	75664	LFO Internal Sw
797	75680	LFO External0 Sw
798	75696	LFO External1 Sw
799	76112	read only
800	76128	read only
801	76144	LFO trigger env sw
802	76368	ENV Attack
803	76384	ENV Sustain
804	76400	ENV Decay
805	76416	ENV Release
806	76432	Q24C Initialize
807	76624	LFO trigger env sw
808	76848	ENV Attack
809	76864	ENV Sustain
810	76880	ENV Decay
811	76896	ENV Release
812	76912	Q24C Initialize
813	77424	OSC1 Feet
814	77440	Griffer Bend SW
815	77456	Bend Enable SW
816	77472	PWM SW LFO
817	77488	PWM SW ENV1
818	77504	PWM SW ENV2
819	77520	PWM SW Manual
820	77536	Tune
821	77552	Detune
822	77568	Mod Sens
823	77584	Mod Sw
824	77600	LFO Gain
825	77616	LFO Level
826	77632	LFO Sw
827	77648	ENV1 Level
828	77664	ENV2 Level
829	77680	ENV Sw
830	77696	Bend Level
831	77712	Bend Range
832	77728	PWM Level
833	77776	JU OSC Saw Lev
834	77792	JU OSC Sqr Lev
835	77808	JU OSC Sub Lev
836	79104	Duty Tune
837	80032	Osc1 Mute
838	80096	Osc1 Level
839	80112	Osc Noise Level
840	80304	Griffer SW
841	80320	LPF Cutoff
842	80416	LPF Resonance
843	80448	Velocity
844	80592	Env1/2
845	80608	Int/Env
846	80880	LFO Gain
847	80896	Ext LFO Sw
848	80912	GRF Bned SW
849	80928	LFO Level
850	80944	MOD Sens
851	80960	MOD SW
852	80976	ENV Level
853	80992	KCV Level
854	81008	Velocity Sens
855	81024	Velocity Offset
856	81040	Bend Level
857	81056	Bend Range
858	81184	Cutoff Tune
859	81200	Resonance Tune
860	81216	PlugIn Sw
861	82640	PlugIn Sw
862	82656	-12dB/oct Tap
863	82672	-18dB/oct Tap
864	82688	-24dB/oct Tap
865	83168	AMP TONE
866	83184	AMP VELOCITY SENS
867	83200	AMP FIX VELOCITY LEVEL
868	83264	Velocity
869	83408	Mute
870	83760	Gate SW
871	83776	ENV1 SW
872	83792	ENV2 SW
873	83808	Ext ENV SW
874	83824	HPF Cutoff
875	83840	HPF Switch
876	83856	Boost LPF Level
877	83872	Boost Thru Level
878	83888	ENV LEVEL
879	83904	AMP LEVEL
880	84304	Ext Noise Sw
881	84448	Voice01 Output On/Off
882	84464	Voice23 Output On/Off
883	84480	Voice45 Output On/Off
884	84496	Voice67 Output On/Off
885	84544	Effect SW
886	84560	Mute SW
887	85136	DS Drive
888	85152	DS Level
889	85168	DS Mute
890	85184	DS BiasMute
891	85984	OD TONE
892	86288	DS Drive
893	86304	DS Level
894	86320	DS Mute
895	86336	DS BiasMute
896	87056	DS TONE
897	87616	DS Drive
898	87632	DS Level
899	87648	DS Mute
900	88976	MT TONE
901	89312	DS Drive
902	89328	DS Level
903	89344	DS Mute
904	89360	DS BiasMute
905	90256	FZ TONE
906	91120	Delay Time
907	91136	Error Depth
908	91152	LFO Rate
909	91168	LFO Phase
910	91184	LFO Depth
911	91200	Noise Level
912	91216	Dry Level
913	91232	Wet Level
914	91248	Ip Fc
915	91264	On/Off
916	91280	Mute
917	96336	Delay Time
918	96352	LFO Rate
919	96368	LFO Depth
920	96384	Ip Fc
921	96400	On/Off
922	96416	Mute
923	101072	Patch Level
924	101136	Expression
925	101152	Volume
926	101488	Voice0 Gate Notify
927	101504	Voice0 Note Off Notify
