cell	class	scenarios_observing	loudest_dB_rel
8272	CARRIED	5	-110.9
8288	CARRIED	4	-131.0
8304	NOT-CARRIED	0	
8320	NOT-CARRIED	0	
8336	NOT-CARRIED	0	
8352	NOT-CARRIED	0	
8368	NOT-CARRIED	0	
8384	NOT-CARRIED	0	
8400	NOT-CARRIED	0	
8416	NOT-CARRIED	0	
8432	CARRIED	5	-132.1
8448	CARRIED	5	-132.1
8464	CARRIED	5	-132.1
8480	CARRIED	5	-132.3
8496	CARRIED	5	-134.1
8512	CARRIED	5	-134.9
8528	CARRIED	5	-141.1
8544	NOT-CARRIED	0	
8560	CARRIED	5	-131.9
8576	CARRIED	5	-131.9
8592	CARRIED	5	-132.1
8608	CARRIED	5	-132.4
8624	CARRIED	5	-133.8
8640	CARRIED	5	-134.4
8656	CARRIED	5	-139.0
8672	NOT-CARRIED	0	
8688	CARRIED	5	-132.0
8704	CARRIED	5	-132.1
8720	CARRIED	5	-132.2
8736	CARRIED	5	-133.0
8752	CARRIED	5	-135.4
8768	CARRIED	5	-136.6
8784	CARRIED	5	-141.0
8800	NOT-CARRIED	0	
8816	CARRIED	5	-131.9
8832	CARRIED	5	-131.7
8848	CARRIED	5	-132.1
8864	CARRIED	5	-133.5
8880	CARRIED	5	-136.1
8896	CARRIED	5	-138.9
8912	CARRIED	5	-147.7
8928	NOT-CARRIED	0	
8944	CARRIED	5	-130.5
8960	NOT-CARRIED	0	
8976	CARRIED	5	-77.2
8992	NOT-CARRIED	0	
9008	NOT-CARRIED	0	
9024	NOT-CARRIED	0	
9040	NOT-CARRIED	0	
9568	NOT-CARRIED	0	
9632	NOT-CARRIED	0	
9648	NOT-CARRIED	0	
9664	NOT-CARRIED	0	
9696	NOT-CARRIED	0	
9712	NOT-CARRIED	0	
9728	NOT-CARRIED	0	
9760	NOT-CARRIED	0	
9776	CARRIED	5	-95.5
9792	NOT-CARRIED	0	
9840	NOT-CARRIED	0	
9856	CARRIED	5	-98.5
9872	NOT-CARRIED	0	
9904	NOT-CARRIED	0	
