pos	disp	family	struct	name	type	range	default
612	1352	PATCH2	PAT2_REV	_reserve_	int8x4	0,0	0
613	1353	PATCH2	PAT2_REV	_reserve_	int8x4	0,0	0
614	1354	PATCH2	PAT2_REV	_reserve_	int8x4	0,0	0
615	1355	PATCH2	PAT2_CHORD	CHORD MEMORY SW	int1x7	0,1	0
616	1356	PATCH2	PAT2_CHORD	CHORD MEMORY Form	int1x7	0,10	10
617	1357	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 1)	int2x4	0,128	61
618	1358	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 2)	int2x4	0,128	68
619	1359	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 3)	int2x4	0,128	73
620	1360	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 4)	int2x4	0,128	0
621	1361	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 5)	int2x4	0,128	0
622	1362	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 6)	int2x4	0,128	0
623	1363	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 7)	int2x4	0,128	0
624	1364	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 8)	int2x4	0,128	0
625	1365	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 9)	int2x4	0,128	0
626	1366	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 10)	int2x4	0,128	0
627	1367	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 11)	int2x4	0,128	0
628	1368	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 12)	int2x4	0,128	0
629	1369	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 13)	int2x4	0,128	0
630	1370	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 14)	int2x4	0,128	0
631	1371	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 15)	int2x4	0,128	0
632	1372	PATCH2	PAT2_CHORD	CHORD MEMORY Note (voice 16)	int2x4	0,128	0
633	1373	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
634	1374	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
635	1375	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
636	1376	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
637	1377	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
638	1378	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
639	1379	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
640	1380	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
641	1381	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
642	1382	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
643	1383	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
644	1384	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
645	1385	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
646	1386	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
647	1387	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
648	1388	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
649	1389	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
650	1390	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
651	1391	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
652	1392	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
653	1393	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
654	1394	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
655	1395	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
656	1396	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
657	1397	PATCH2	PAT2_CHORD	_reserve_	int8x4	0,0	0
658	1398	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
659	1399	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
660	1400	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
661	1401	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
662	1402	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
663	1403	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
664	1404	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
665	1405	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
666	1406	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
667	1407	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
668	1408	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
669	1409	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
670	1410	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
671	1411	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
672	1412	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
673	1413	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
674	1414	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
675	1415	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
676	1416	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
677	1417	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
678	1418	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
679	1419	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
680	1420	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
681	1421	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
682	1422	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
683	1423	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
684	1424	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
685	1425	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
686	1426	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
687	1427	PATCH2	PAT2_EXTD	_reserve_	int8x4	0,0	0
688	1428	PATCH	PAT3_SEQ_COM	STEP SEQ LENGTH	int1x7	0,63	15
689	1429	PATCH	PAT3_SEQ_COM	STEP SEQ FIRST STEP	int1x7	0,63	0
690	1430	PATCH	PAT3_SEQ_COM	STEP SEQ LAST STEP	int1x7	0,63	15
691	1431	PATCH	PAT3_SEQ_COM	STEP SEQ SCALE	int1x7	0,5	1
692	1432	PATCH	PAT3_SEQ_COM	STEP SEQ PLAY MODE	int1x7	0,5	0
693	1433	PATCH	PAT3_SEQ_COM	STEP SEQ GATE RATIO	int2x4	0,255	128
694	1434	PATCH	PAT3_SEQ_COM	STEP SEQ SHUFFLE	int2x4	0,255	128
695	1435	PATCH	PAT3_SEQ_COM	STEP SEQ SMOOTH	int1x7	0,2	0
696	1436	PATCH	PAT3_SEQ_COM	DUMMY1	int1x7	0,1	0
697	1437	PATCH	PAT3_SEQ_COM	DUMMY2	int1x7	0,1	0
698	1438	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
699	1439	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
700	1440	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
701	1441	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
702	1442	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
703	1443	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
704	1444	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
705	1445	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
706	1446	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
707	1447	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
708	1448	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
709	1449	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
710	1450	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
711	1451	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
712	1452	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
713	1453	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
714	1454	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
715	1455	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
716	1456	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
717	1457	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
718	1458	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
719	1459	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
720	1460	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
721	1461	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
722	1462	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
723	1463	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
724	1464	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
725	1465	PATCH	PAT3_SEQ_COM	_reserve_	int8x4	0,0	0
726	1466	PATCH	PAT3_SEQ_STEP0	STEP SEQ Note (voice 1)	int1x7	0,127	36
727	1467	PATCH	PAT3_SEQ_STEP0	STEP SEQ Note (voice 2)	int1x7	0,127	36
728	1468	PATCH	PAT3_SEQ_STEP0	STEP SEQ Note (voice 3)	int1x7	0,127	36
729	1469	PATCH	PAT3_SEQ_STEP0	STEP SEQ Note (voice 4)	int1x7	0,127	36
730	1470	PATCH	PAT3_SEQ_STEP0	STEP SEQ Note (voice 5)	int1x7	0,127	36
731	1471	PATCH	PAT3_SEQ_STEP0	STEP SEQ Note (voice 6)	int1x7	0,127	36
732	1472	PATCH	PAT3_SEQ_STEP0	STEP SEQ Note (voice 7)	int1x7	0,127	36
733	1473	PATCH	PAT3_SEQ_STEP0	STEP SEQ Note (voice 8)	int1x7	0,127	36
734	1474	PATCH	PAT3_SEQ_STEP0	STEP SEQ Velo (voice 1)	int1x7	0,127	0
735	1475	PATCH	PAT3_SEQ_STEP0	STEP SEQ Velo (voice 2)	int1x7	0,127	0
736	1476	PATCH	PAT3_SEQ_STEP0	STEP SEQ Velo (voice 3)	int1x7	0,127	0
737	1477	PATCH	PAT3_SEQ_STEP0	STEP SEQ Velo (voice 4)	int1x7	0,127	0
738	1478	PATCH	PAT3_SEQ_STEP0	STEP SEQ Velo (voice 5)	int1x7	0,127	0
739	1479	PATCH	PAT3_SEQ_STEP0	STEP SEQ Velo (voice 6)	int1x7	0,127	0
740	1480	PATCH	PAT3_SEQ_STEP0	STEP SEQ Velo (voice 7)	int1x7	0,127	0
741	1481	PATCH	PAT3_SEQ_STEP0	STEP SEQ Velo (voice 8)	int1x7	0,127	0
742	1482	PATCH	PAT3_SEQ_STEP0	STEP SEQ Gate (voice 1)	int1x7	0,99	49
743	1483	PATCH	PAT3_SEQ_STEP0	STEP SEQ Gate (voice 2)	int1x7	0,99	49
744	1484	PATCH	PAT3_SEQ_STEP0	STEP SEQ Gate (voice 3)	int1x7	0,99	49
745	1485	PATCH	PAT3_SEQ_STEP0	STEP SEQ Gate (voice 4)	int1x7	0,99	49
746	1486	PATCH	PAT3_SEQ_STEP0	STEP SEQ Gate (voice 5)	int1x7	0,99	49
747	1487	PATCH	PAT3_SEQ_STEP0	STEP SEQ Gate (voice 6)	int1x7	0,99	49
748	1488	PATCH	PAT3_SEQ_STEP0	STEP SEQ Gate (voice 7)	int1x7	0,99	49
749	1489	PATCH	PAT3_SEQ_STEP0	STEP SEQ Gate (voice 8)	int1x7	0,99	49
750	1490	PATCH	PAT3_SEQ_STEP0	STEP SEQ Note Flag	int8x4	0,2147483647	0
751	1491	PATCH	PAT3_SEQ_STEP0	STEP SEQ Slide Flag	int8x4	0,2147483647	0
752	1492	PATCH	PAT3_SEQ_STEP0	STEP SEQ Mute Flag	int8x4	0,2147483647	0
753	1493	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 1 Target	int8x4	0,2147483647	0
754	1494	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 2 Target	int8x4	0,2147483647	0
755	1495	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 3 Target	int8x4	0,2147483647	0
756	1496	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 4 Target	int8x4	0,2147483647	0
757	1497	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 1 Value	int8x4	0,2147483647	0
758	1498	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 2 Value	int8x4	0,2147483647	0
759	1499	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 3 Value	int8x4	0,2147483647	0
760	1500	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 4 Value	int8x4	0,2147483647	0
761	1501	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 1 Transient	int1x7	0,5	0
762	1502	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 2 Transient	int1x7	0,5	0
763	1503	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 3 Transient	int1x7	0,5	0
764	1504	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign 4 Transient	int1x7	0,5	0
765	1505	PATCH	PAT3_SEQ_STEP0	STEP SEQ Assign Flag	int8x4	0,2147483647	0
766	1506	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
767	1507	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
768	1508	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
769	1509	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
770	1510	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
771	1511	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
772	1512	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
773	1513	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
774	1514	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
775	1515	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
776	1516	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
777	1517	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
778	1518	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
779	1519	PATCH	PAT3_SEQ_STEP0	_reserve_	int8x4	0,0	0
780	1520	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
781	1521	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
782	1522	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
783	1523	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
784	1524	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
785	1525	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
786	1526	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
787	1527	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
788	1528	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
789	1529	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
790	1530	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
791	1531	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
792	1532	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
793	1533	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
794	1534	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
795	1535	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
796	1536	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
797	1537	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
798	1538	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
799	1539	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
800	1540	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
801	1541	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
802	1542	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
803	1543	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
804	1544	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
805	1545	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
806	1546	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
807	1547	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
808	1548	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
809	1549	PATCH	PAT3_EXTD	_reserve_	int8x4	0,0	0
810	1550	PATCH	vs	mode	?	0,1	0
811	1551	PATCH	vs	ccAssign	?	0,1	1
812	1552	PATCH	vs	panelPatch	?	0,1	0
813	1553	PATCH	vs	panelSize	?	0,1	1
814	1554	PATCH	vs	patchManager	?	0,1	0
815	1555	PATCH	vs	patchListMain	?	0,1	0
816	1556	PATCH	vs	patchListSub	?	0,1	0
817	1557	PATCH	vs	activation	?	0,2	0
818	1558	PATCH	vs	mainZoom	int4x4	25,200	62
819	1559	PATCH	vs	dm	?	0,127	0
820	1560	PATCH	vs	velSense	?	0,1	1
821	1561	PATCH	vs	voiceCount	?	2,8	6
822	1562	PATCH	vs	quality	?	0,1	0
823	1563	PATCH	vs	bankId	int4x4	0,65535	0
824	1564	PATCH	vs	patchId	?	0,63	0
825	1565	PATCH	vs	sampleRate	?	0,3	0
826	1566	PATCH	vs	patchZoom	int4x4	25,200	62
827	1567	PATCH	vs	setup	?	0,1	0
828	1568	PATCH	vs	updateSetup	?	0,1	0
829	1569	PATCH	vs	writePatch	?	0,1	0
830	1570	PATCH	vs	auth	?	0,1	0
831	1571	PATCH	vs	updateAuth	?	0,1	0
832	1572	PATCH	vs	authDummy	stringNx7		
833	1573	PATCH	ks	onVel	?	0,127	0
834	1574	PATCH	ks	offVel	?	1,127	64
835	1575	PATCH	ks	ch	?	0,15	0
