Board,Designator,Pins (netlist),Nets,What it probably is
Potentiometer_3-Pack,CONN2,3,+3V3 GND SIG2,"JST-XH connector, 3 pins"
Potentiometer_3-Pack,CONN3,3,+3V3 GND SIG3,"JST-XH connector, 3 pins"
Potentiometer_3-Pack,RV1,5,+3V3 GND SIG1,potentiometer (user-supplied)
Potentiometer_3-Pack,RV2,5,+3V3 GND SIG2,potentiometer (user-supplied)
Potentiometer_3-Pack,RV3,5,+3V3 GND SIG3,potentiometer (user-supplied)
FaderBoard,RV1,,,in the BOM without an LCSC #: Fader_Dual_75mm [Fader_Slide_Dual_75mm_60mmTravel_B103] -- not ordered
Multiplex16,"TP1, TP2, TP3",,,in the BOM without an LCSC #: TestPoint [TestPoint_Pad_D1.5mm] -- not ordered
PB86-A1_3-Pack,"H1, H2, H3, H4",,,in the BOM without an LCSC #: HOLE_M3 [MountingHole_3.2mm_M3_Pad] -- not ordered
PB86-A1_4-Pack,"H1, H2, H3, H4",,,in the BOM without an LCSC #: HOLE_M3 [MountingHole_3.2mm_M3_Pad] -- not ordered
PB86-A1_8-Pack,"H1, H2, H3, H4",,,in the BOM without an LCSC #: HOLE_M3 [MountingHole_3.2mm_M3_Pad] -- not ordered
SwitchBoard,SW1,,,in the BOM without an LCSC #: SW_TS_Universal [SW_Slide_Daier_TS-22E01_TS-23E01_Universal_v4] -- not ordered
