Designator,Footprint,Quantity,Value,LCSC Part #
"J17_4, J17_3, J17_2, J17",CONN-TH_S3B-XH-A-LF-SN,4,TOGGLE,C157928
SW1,SW_Slide_Daier_TS-22E01_TS-23E01_Universal_v4,1,SW_TS_Universal,
