Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C0805,3,CC0805KRX7R9BB104,C49678
D1,SOD-123F_L2.7-W1.6-LS3.8-RD,1,1N4148W_C81598,C81598
"R1, R2, R3, R4, R5",R0805,5,0805W8F2200T5E,C17557
R6,R0805,1,0805W8F1001T5E,C17513
U4,SMD-6_L7.3-W6.5-P2.54-LS10.2-BL,1,OPTOCOUPLER,C78589
U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MIDI-OUT BUFFER,C163712
U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MIDI-THRU BUFFER,C163712
