Designator,Footprint,Quantity,Value,LCSC Part #
J16,CONN-TH_S4B-XH-A-LF-SN,1,GROUP1,C157925
"SW1, SW2, SW3",KEY-TH_CPG1511_15.75,3,KEYSWITCH,C400226
