Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0805,1,CC0805KRX7R9BB104,C49678
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,HOLE_M3,
"R1, R2, R3, R4, R5, R6, R7, R8",0805,8,220,C17557
U1,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,1,XL9555,C609791
