A0:1
A1:1
A10:1
A11:1
A12:1
A13:1
A14:1
A15:1
A2:1
A3:1
A4:1
A5:1
A6:1
A7:1
A8:1
A9:1
C1:1
C2:1
CHIP1:1
ENABLE1:1
H1:1
H2:1
H3:1
H4:1
LED1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SELIN1:1
SELPASS1:1
SIGIN1:1
SIGPASS1:1
TP1:1
TP2:1
TP3:1
