AUDIO_PWR1:1
AUDIO_SIG1:1
CLOCK1:1
EN1:1
H1:1
H1A1:1
H1B1:1
H1C1:1
H1D1:1
H2:1
H3:1
H4:1
I2C1:1
I2C2:1
I2C3:1
INT_MIDI_SIG1:1
MIDI_PWR1:1
MIDI_SIG1:1
MUX_SIG1:1
PEDAL1:1
R1:1
R2:1
SAT_PWR1:1
SAT_SIG1:1
SELIN1:1
USB_PWR1:1
VOL_POT1:1
